,amount,cityPop,unixTime,merchLatitude,merchLongitude,age,category_gas_transport,category_grocery_pos,category_shopping_net,distance_between
123667,0.006428351538774654,7.863696815309029e-06,0.8432290638872146,0.4522301863095803,0.8760817887301205,0.7,False,False,False,0.45896452140211
67511,0.0021898037758347018,0.00319997525609407,0.7748668974906394,0.47646686840469316,0.7137200624973797,0.11250000000000002,False,True,False,0.470281098519917
152152,0.00041549366498625607,3.8886412822956736e-07,0.8802565773868238,0.5652532929848881,0.691190078734086,0.4375,False,False,False,0.446994352155439
72260,0.0003743479918841044,7.783455011071183e-06,0.7795910150075471,0.24568989350363285,0.7483314731919486,0.4,False,False,False,0.4565671185211838
164692,0.00020790209918407959,4.456506358440439e-06,0.8972514406565111,0.473706972251078,0.9309385354383946,0.17500000000000002,False,False,False,0.23216131462307946
673,0.0079746525139608,3.147947704715546e-07,0.49238260966630065,0.4785253665523829,0.8468814196559723,0.55,False,False,True,0.8036831600977289
89209,0.00042178196596979247,0.008103940777197144,0.8004827769040475,0.32963022486127075,0.5391691541925705,0.06250000000000003,True,False,False,0.8414506780512981
114753,0.0017535820076064186,5.086095899383548e-06,0.8345701750714127,0.49977025015317883,0.9126007593582321,0.23750000000000002,False,False,False,0.47720782747323975
126909,0.007329053612984397,0.0005237999807252273,0.8489239177883974,0.4128516652627157,0.6160888186470146,0.9125000000000001,False,False,True,0.6812680495867546
101556,0.006705968382195964,1.1709130972245864e-05,0.817366015456038,0.25996674491454413,0.6695467047909123,0.6375,False,False,True,0.7183375041944443
690,0.00017366579382927037,2.296150090498398e-06,0.49520512038526476,0.5182270136806002,0.810315007070798,0.11250000000000002,False,False,False,0.6861767286164195
51320,0.0023362202654019816,2.841177114667776e-05,0.7544096746737452,0.5170844699288519,0.964196330488518,0.65,False,True,False,0.6484900674210602
144232,6.622124369082146e-05,3.7405025667796483e-06,0.8711751092825963,0.4617946721177471,0.8672288125589144,0.0875,False,False,False,0.26892890400011854
121597,0.005872884951895607,5.450270241693779e-05,0.8414331019113774,0.5075544450227127,0.9095008001579139,0.17500000000000002,False,False,False,0.5392067682497071
119080,6.70752104910548e-05,2.1356664820227038e-06,0.8392285137368205,0.5974697423935225,0.6947633740346668,0.35,False,False,False,0.44691349539722897
20323,0.0008529575667421517,6.289722962951256e-06,0.5631048415228008,0.375168154396937,0.7788284152021767,0.32499999999999996,False,True,False,0.38620421991421094
143718,1.7312236041094005e-05,1.7326057268895172e-05,0.8705312738572957,0.2810180720656212,0.7280888659184254,0.925,False,False,False,0.1684488843788786
35572,0.007512967008416468,3.3047278453033394e-05,0.5792405931259097,0.3387872278279113,0.8377780414445273,0.48750000000000004,False,False,False,0.41197731159364626
158705,0.00033491025238241944,0.0005802963833551517,0.8889334058894036,0.39264898769892803,0.4459557106006109,0.23750000000000002,False,False,False,0.5405658355939535
169808,0.0006705968382195965,0.004544673583958394,0.9022865127441548,0.40480234614692995,0.820144651520266,0.6625,False,False,False,0.4953669077545673
140840,0.0009135115762132429,9.46236045358614e-06,0.8654742754858162,0.4566317107960463,0.9337408211876723,0.8625,False,False,False,0.4706550610266382
149464,0.002198188177146084,0.00017545179118929293,0.8778008335974476,0.46665806929110903,0.8701122281679442,0.4375,False,True,False,0.43816614177154456
30728,0.001351363644696517,3.0985681328768704e-06,0.5757662737875293,0.38913156069897287,0.8514828280129538,0.5625,False,False,False,0.6138321656269835
974,0.008591527077111171,2.3486158855769906e-05,0.5418403328011223,0.46073524612969524,0.7466227701991757,0.675,False,False,False,0.5662904132184629
178667,0.006161525730374475,9.135220790154917e-06,0.9983076895477438,0.37515971242093765,0.7938795340864744,0.375,False,False,False,0.5522577228311185
16394,0.0005205315814149565,0.009849971575180302,0.5595288639593718,0.23479869446731166,0.6870020343861593,0.11250000000000002,True,False,False,0.6678471753365326
56,0.0022028461778746296,4.4318165725211015e-06,0.4615901339695938,0.4104221821697362,0.9162105816551473,0.25,False,False,False,0.1256972210879816
35296,0.0007529658177693755,1.642488008283935e-05,0.5790711627508358,0.4124910962878133,0.7087136769945502,0.7,False,False,False,0.5205281832968804
88932,0.002738050461584504,2.277632751058895e-06,0.800211688303925,0.5587676714235101,0.5571909883074586,0.7875000000000001,False,True,False,0.6856141003405417
107748,0.006677865111133739,0.0024026001024896222,0.8230489095660403,0.4259267320903007,0.6184331676202193,0.4375,False,False,True,0.2792347716403006
167025,0.00019128856325226738,1.0647470177714345e-05,0.8996194793105587,0.2718760420564124,0.8533592983662601,0.375,False,False,False,0.7637358787040818
134612,0.0010994434386276829,6.950174736293538e-06,0.8589721356798492,0.5302164885945231,0.8107210877512783,0.6125,False,True,False,0.4426644727532938
27689,0.0004630052724174199,4.197263606287394e-06,0.5728779842170653,0.5238873585882395,0.8049269189707324,0.475,False,False,False,0.4202199842868366
35905,2.9966471353642536e-05,1.1869614580721557e-05,0.579533608009875,0.2803423989865597,0.7862188668928465,0.5625,False,False,True,0.8699735733161917
170511,0.00026084804079854645,3.3331210991105775e-06,0.9028366631385296,0.33719438235637095,0.6874346901870159,0.26249999999999996,False,False,False,0.582519038397527
150417,3.377050528195467e-05,5.549029385371128e-06,0.8788692416097064,0.2925650572375423,0.6087524401533357,0.4625,False,False,False,0.09929748953241885
6323,0.006949659453644369,0.0004188498732286029,0.5504015499889405,0.5319168537603849,0.8259235614264847,0.12500000000000003,False,False,True,0.598912746124603
68314,3.7031105791936495e-05,0.0012005408403277914,0.7759691915779143,0.247792449526066,0.7065058954481795,0.17500000000000002,False,False,False,0.8718575357824845
142932,0.000145562522767046,7.05634081574669e-05,0.8690143736757037,0.18925608194495908,0.8498771349620549,0.23750000000000002,False,False,False,0.678666483391348
76032,0.0072642297695121386,3.081902527381318e-05,0.7829816158076568,0.2310979799884429,0.705236890813645,0.7,False,False,True,0.6922996066318713
24096,0.00023018286933562204,4.907094951468351e-06,0.5684987073459027,0.5658188003771505,0.7603963170073378,0.225,False,False,False,0.4435498542556933
146419,0.007969606346504874,5.332993758576924e-06,0.874434152379699,0.5374198881152581,0.8305501103088203,0.7749999999999999,False,False,True,0.22545020369165006
54553,0.0005079549794478837,4.2225706368547153e-05,0.7579039269974359,0.396718608128997,0.8154812445812061,0.06250000000000003,True,False,False,0.8117769215945492
10246,0.0022417404839579842,6.802036020777512e-06,0.5549004247719154,0.487655342595861,0.8686105181758225,0.18750000000000003,False,True,False,0.584376048611083
32078,7.344114482006694e-05,3.3047278453033394e-05,0.5768127555159595,0.35497771979834264,0.8288238410511253,0.48750000000000004,True,False,False,0.5696149735935303
127078,0.0006047637612561538,3.468297677018951e-05,0.849195006388527,0.5288051456069711,0.7379380529630211,0.575,True,False,False,0.6837031856215122
7486,0.0011017724389919556,1.0221571370605772e-05,0.5520898738441389,0.4358149109782082,0.754918902794841,0.4375,False,False,False,0.08369819945475593
9564,0.0003769875256302802,3.399166276444806e-05,0.5542266898686634,0.4748448750160203,0.8614240899744291,0.38749999999999996,False,True,False,0.41962838233926686
67265,0.002380626539014115,0.00021080756462578436,0.7745140836507645,0.23379874031018127,0.7152503540364825,0.11250000000000002,False,True,False,0.25005221998967725
161018,7.724517874837908e-05,5.086095899383548e-06,0.892591108692578,0.5229112183634064,0.9877292968149914,0.375,True,False,False,0.3043926781510215
104564,0.006712955383288782,2.273929283170994e-05,0.8201566333985184,0.42531777582156344,0.8679854360314632,0.36250000000000004,False,False,False,0.7313069282113273
105225,0.002751869197079189,5.32682131209709e-06,0.8207546229576153,0.43301225894614787,0.8877599841066937,0.4,False,True,False,0.7239994986880991
76083,0.00018228309517707948,0.001384208157781744,0.783015501882673,0.17228128420430894,0.8545287641769465,0.23750000000000002,False,False,False,0.6138469893659887
142,0.002522617927889276,0.0008898198845329276,0.4821490150115295,0.2757507410406432,0.7098930946811948,0.25,False,True,False,0.38252119457774575
50520,0.0005404057178567505,5.079923452903714e-06,0.7534070455129864,0.43724005092653534,0.9142929695243162,0.275,False,False,False,0.5575329524980022
37324,1.0169968257324281e-05,0.001984379818801962,0.5808372252487146,0.3954418117589292,0.8990732807088433,0.1625,False,False,False,0.7242029881962609
19401,0.0013019112036284594,5.69099565440732e-06,0.561819163970732,0.4555734398047106,0.8803715488747614,0.4,False,False,False,0.20795347502132597
101977,0.002273492522257569,0.0024026001024896222,0.8178005545356513,0.45030211879107623,0.626874184280994,0.4375,False,True,False,0.715246080805549
3418,0.008308553532852035,1.1881959473681226e-05,0.5465863766018657,0.4437001785603924,0.8975923472642108,0.48750000000000004,False,False,True,0.6953458849974328
157196,0.006687724546009161,5.110785685302886e-06,0.8862444461719718,0.5415098994873557,0.7624324888862275,0.1625,False,False,False,0.32177957639144367
748,0.0059428325961692645,1.4134902438820783e-05,0.5123634341344427,0.3076101284644048,0.8903137638888737,0.7375,False,False,False,0.5370391333233611
96209,0.0005555442202245232,2.1171491425832e-06,0.8106027535425895,0.5052965524419015,0.6890025119357555,0.4125,False,False,False,0.5345682855537274
34,0.0023635472030094484,3.715812780860311e-06,0.458994859283095,0.3733798204811704,0.6927472062290236,0.575,False,True,False,0.6037931252888944
75,0.006630819303775431,1.8332166045108178e-06,0.47014537126182177,0.3025910167337394,0.7686123129244201,0.5375,False,False,True,0.6976354788674124
73037,0.0077816560171080655,0.0009321752122775513,0.7801730581784057,0.4796591953289077,0.9298372179073294,0.5875,False,False,True,0.5956023356822222
114815,0.007159812919847245,0.0017036075733272548,0.8346319673258549,0.14280746899836566,0.8577988282247924,0.875,False,False,False,0.4451609251630274
112660,6.544491023606387e-05,1.2159719565273775e-05,0.831400830408171,0.37317759105610865,0.8784856884449461,0.23750000000000002,False,False,True,0.3377346362052306
6278,0.007702392371377317,1.1783200330003876e-05,0.5503596907198016,0.44512916149779397,0.904239718861912,0.625,False,False,True,0.5544617432986593
139936,0.0007004856762277632,1.0369710086121798e-05,0.8635826351805278,0.6023152476177511,0.7334717172450531,0.35,False,False,True,0.4695378901507035
49404,0.00047053570692856837,4.719452578481385e-05,0.6416368170211797,0.4860653741161414,0.8449956093868222,0.19999999999999998,False,False,False,0.7981640125435784
12357,0.0005138551137040413,1.4665732836086542e-05,0.5565130032829657,0.46671483212973236,0.943919714284049,0.4,True,False,False,0.4013251075057981
3766,2.8569071135078897e-05,1.0363537639641963e-05,0.5469890229049952,0.38082820530541234,0.7453983884923249,0.225,False,False,False,0.6192846063556108
98967,4.9918241140912304e-05,2.1171491425832002e-05,0.8145534712297291,0.22844848052096983,0.8217007858340343,0.6875,False,False,False,0.7756393411252296
85813,0.006138390993422699,5.867527623730584e-05,0.7973792110923128,0.4694257564225746,0.9420041487083545,0.6375,False,False,False,0.5280700974189175
